QUERY_SNP	GWAS_SNP	GWAS_TRAIT	GWAS_STUDY	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs56328224	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Classic Monocyte	KANSL1-AS1	5
rs56328224	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Dendritic Cell	KANSL1-AS1	5
rs56328224	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 SOX4 T cell	KANSL1-AS1	5
rs56328224	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Natural Killer Recruiting Cell	KANSL1-AS1	5
rs56328224	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Plasma Cell	KANSL1-AS1	5
rs56328224	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Classic Monocyte	KANSL1-AS1	5
rs56328224	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Dendritic Cell	KANSL1-AS1	5
rs56328224	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	5
rs56328224	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	5
rs56328224	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	5
rs56328224	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Classic Monocyte	KANSL1-AS1	5
rs56328224	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Dendritic Cell	KANSL1-AS1	5
rs56328224	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	5
rs56328224	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	5
rs56328224	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	5
rs56328224	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Classic Monocyte	KANSL1-AS1	5
rs56328224	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Dendritic Cell	KANSL1-AS1	5
rs56397077	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs56397077	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	1
rs566002249	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs566002249	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs57213017	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs62055947	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62055947	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62061733	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs62065453	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs62065453	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 SOX4 T cell	KANSL1-AS1	3
rs62065453	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Recruiting Cell	KANSL1-AS1	3
rs62065453	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	3
rs6503665	rs1030827	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Memory B Cell	JUP	1
rs6503665	rs1030827	COVID-19 (severe vs tested, not severe)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Memory B Cell	JUP	1
rs6503665	rs6503665	COVID-19 (severe vs non-severe with positive test)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Memory B Cell	JUP	1
rs67206808	rs62070270	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	NSRP1	1
rs67206808	rs7220151	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	NSRP1	1
rs75257002	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs75257002	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	RP11-798G7.5	1
rs77875796	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs77875796	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Natural Killer Cell	LRRC37A2	1
rs79172804	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Naive/Central memory T cell	CRHR1	1
rs79172804	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Naive/Central memory T cell	CRHR1	1
rs79730878	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Naïve/Immature B Cell	ARL17B	1
